number;title
1;Cyborg Cop (1993)  
2;Cyborg Cop II (1994)  
3;Cyborg Cop III (1995)  
1;Daimajin (1966)
2;Wrath of Daimajin (1966)
3;Return of Daimajin (1966)
1;Dallas: The Early Years (1986)  
2;Dallas: J.R. Returns (1996)  
3;Dallas: War of the Ewings (1998)  
1;Dancing Master (1979)
2;Superhand: Shadow of the Dancing Master (1980)
3;Dancing Master 2: Macao Connection (1982)
1;Batman Begins (2005)
2;The Dark Knight (2008)
3;The Dark Knight Rises (2012)
1;Darkman (1990)
2;Darkman II: The Return of Durant (1995)  
3;Darkman III: Die Darkman Die (1996)  
1;Nadodikkattu (1987)
2;Pattanapravesham (1988)
3;Akkareyakkareyakkare (1990)
1;Days of Being Wild (1991)
2;In the Mood for Love (2000)
3;2046 (2004)
1;Night of the Living Dead (1990)
2;Dawn of the Dead (2004)
3;Day of the Dead (2008)  
1;Dead or Alive: Hanzaisha (1999)
2;Dead or Alive 2: Tôbôsha (2000)
3;Dead or Alive: Final (2002)
1;Dear Caroline (1951)
2;Un caprice de Caroline chérie (fr) (1953)
3;Caroline and the Rebels (1955)
1;Dear Ruth (1947)
2;Dear Wife (1949)
3;Dear Brat (1951)
1;Death Note (2006)
2;Death Note: The Last Name (2007)
3;L Change the WorLd (2008)
1;Amores perros (2000)
2;21 Grams (2003)
3;Babel (2006)
1;Gerry (2002)
2;Elephant (2003)
3;Last Days (2005)
1;The Decline of Western Civilization (1981)
2;The Decline of Western Civilization Part II: The Metal Years (1988)
3;The Decline of Western Civilization III (1998)
1;The Defenders: Payback (1997)  
2;The Defenders: Choice of Evils (1998)  
3;The Defenders: Taking the First (1998)  
1;The Delta Force (1986)
2;Delta Force 2: The Colombian Connection (1990)
3;Delta Force 3: The Killing Game (1991)
1;The Keeper of Lost Causes (2013)
2;The Absent One (2014)
3;A Conspiracy of Faith (2016)
1;Detective Dee and the Mystery of the Phantom Flame (2010)
2;Young Detective Dee: Rise of the Sea Dragon (2013)  
3;Detective Dee: The Four Heavenly Kings (2018)  
1;Alerte au Deuxième Bureau (fr) (1956)
2;Deuxième Bureau contre inconnu (fr) (1957)
3;Rapt au Deuxième Bureau (fr) (1958)
1;The Computer Wore Tennis Shoes (1969)
2;Now You See Him, Now You Don't (1972)
3;The Strongest Man in the World (1975)
1;Dhoom (2004)
2;Dhoom 2 (2006)
3;Dhoom 3 (2013)
1;Dibu: La película (1997)
2;Dibu 2: La venganza de Nasty (1998)
3;Dibu 3 (2002)
1;Dick Barton: Special Agent (1948)
2;Dick Barton Strikes Back (1949)
3;Dick Barton at Bay (1950)
1;Dinocroc (2004)
2;Supergator (2007)  
3;Dinocroc vs. Supergator (2010)  
1;Divergent (2014)
2;The Divergent Series: Insurgent (2015)
3;The Divergent Series: Allegiant (2016)
1;Dr. Mabuse the Gambler (1922)
2;The Testament of Dr. Mabuse (1933)
3;The Thousand Eyes of Dr. Mabuse (1960)
1;The Name of the Doctor (2013)  
2;The Day of the Doctor (2013)  
3;The Time of the Doctor (2013)  
1;A Fistful of Dollars (1964)
2;For a Few Dollars More (1965)
3;The Good, the Bad and the Ugly (1966)
1;Metropolitan (1990)
2;Barcelona (1994)
3;The Last Days of Disco (1998)
1;The Mysterious Dr. Fu Manchu (1929)
2;The Return of Dr. Fu Manchu (1930)
3;Daughter of the Dragon (1931)
1;The Country Doctor (1936)
2;Reunion (1936)
3;Five of a Kind (1938)
1;Dracula 2000 (2000)
2;Dracula II: Ascension (2003)  
3;Dracula III: Legacy (2005)  
1;Drake & Josh Go Hollywood (2006)  
2;Drake & Josh: Really Big Shrimp (2007)  
3;Merry Christmas, Drake & Josh (2008)  
1;Dragnet (1954)
2;Dragnet (1966)
3;Dragnet (1987)
1;Duma o Kovpake: Nabat (1973)
2;Duma o Kovpake: Buran (1975)
3;Duma o Kovpake: Karpaty, Karpaty... (1976)
1;Dumb and Dumber (1994)
2;Dumb and Dumberer: When Harry Met Lloyd (2003)  
3;Dumb and Dumber To (2014)
1;Dungeons & Dragons (2000)
2;Dungeons & Dragons: Wrath of the Dragon God (2005)
3;Dungeons & Dragons: The Book of Vile Darkness (2012)  
1;Dynasty: The Reunion (1991)  
2;Dynasty: The Making of a Guilty Pleasure (2005)  
3;Dynasty Reunion: Catfights & Caviar (2006)  
1;Fire (1996)
2;Earth (1998)
3;Water (2005)
1;Elvis Gratton: Le king des kings (1985)
2;Elvis Gratton II: Miracle à Memphis (1999)
3;Elvis Gratton 3: Le retour d'Elvis Wong (2004)
1;Emil i Lönneberga (1971)
2;Nya hyss av Emil i Lönneberga (1972)
3;Emil and the Piglet (1973)
1;Entrails of a Virgin (1986)
2;Entrails of a Beautiful Woman (1986)
3;Female Inquisitor (1987)
1;Erkan & Stefan (de) (2000)
2;Erkan & Stefan gegen die Mächte der Finsternis (de) (2002)
3;Erkan & Stefan in Der Tod kommt krass (de) (2005)
1;Erotic Ghost Story (1987)
2;Erotic Ghost Story II (1993)
3;Erotic Ghost Story III (1994)
1;The Element of Crime (1984)
2;Epidemic (1988)
3;Europa (1991)
1;11/11/11 (2011)  
2;12/12/12 (2012)
3;13/13/13 (2013)
1;The Evil Dead (1981)
2;Evil Dead II (1987)
3;Army of Darkness (1993)
1;The Expendables (2010)
2;The Expendables 2 (2012)
3;The Expendables 3 (2014)
1;The Eye (2002)
2;The Eye 2 (2004)
3;The Eye 10 (2005)
1;Eyyvah Eyvah (2010)
2;Eyyvah Eyvah 2 (2011)
3;Eyyvah Eyvah 3 (tr) (2014)
1;Fack ju Göhte (2013)
2;Fack ju Göhte 2 (2015)
3;Fack ju Göhte 3 (2017)
1;A Fairly Odd Movie: Grow Up, Timmy Turner!  
2;A Fairly Odd Christmas  
3;A Fairly Odd Summer  
1;Familien Gyldenkål (1975)
2;Familien Gyldenkål sprænger banken (1976)
3;Familien Gyldenkål vinder valget (1977)
1;Fantômas (1964)
2;Fantômas se déchaîne (1965)
3;Fantômas contre Scotland Yard (1967)
1;Fatal Fury: Legend of the Hungry Wolf (1992)  
2;Fatal Fury: The Motion Picture (1994)
3;Fatal Fury 2: The New Battle (1993)  
1;Feast (2005)
2;Feast 2: Sloppy Seconds (2008)
3;Feast III: The Happy Finish (2009)  
1;Fifty Shades of Grey (2015)
2;Fifty Shades Darker (2017)
3;Fifty Shades Freed (2018)
1;Fight Back to School (1991)
2;Fight Back to School II (1992)
3;Fight Back to School III (1993)
1;Flåklypa Grand Prix (1975)
2;Solan, Ludvig og Gurin med reverompa (no) (1998)
3;Solan og Ludvig – Jul i Flåklypa (no) (2013)
1;Flash Gordon (1936)
2;Flash Gordon's Trip to Mars (1938)
3;Flash Gordon Conquers the Universe (1940)
1;The Touch of Her Flesh (1967)
2;The Kiss of Her Flesh (1968)
3;The Curse of Her Flesh (1968)
1;Flicka (2006)
2;Flicka 2 (2010)  
3;Flicka: Country Pride (2012)  
1;Flodder (1986)
2;Flodders in America (1992)
3;Flodder 3 (1995)
1;Mum's the Word (2016)  
2;Snipped in the Bud (2016)  
3;Dearly Depotted (2016)  
1;The Fly (1958)
2;Return of the Fly (1959)
3;Curse of the Fly (1965)
1;Foster's Home for Imaginary Friends - House of Bloo's (2004)  
2;Foster's Home for Imaginary Friends - Good Wilt Hunting (2006)  
3;Foster's Home for Imaginary Friends - Destination Imagination (2008)  
1;Freaky Friday (1976)
2;Summer Switch (1984)  
3;A Billion for Boris (1984)  
1;Fred: The Movie (2010)  
2;Fred 2: Night of the Living Fred (2011)  
3;Fred 3: Camp Fred (2012)  
1;The French Connection (1971)
2;French Connection II (1975)
3;Popeye Doyle (1986)  
1;Friday (1995)
2;Next Friday (2000)
3;Friday After Next (2002)
1;Dil Chahta Hai (2001)
2;Rock On!! (2008)
3;Zindagi Na Milegi Dobara (2010)
1;From Dusk Till Dawn (1996)
2;From Dusk Till Dawn 2: Texas Blood Money (1999)
3;From Dusk Till Dawn 3: The Hangman's Daughter (2000)  
1;Furyô banchô: Inoshika Ochô (1969)
2;Furyô anego den: Inoshika Ochô (1973)
3;Yasagure anego den: sôkatsu rinchi (1973)
1;Garfield Gets Real (2007)  
2;Garfield's Fun Fest (2008)  
3;Garfield's Pet Force (2009)  
1;Gas House Kids (1946)
2;Gas House Kids Go West (1947)
3;Gas House Kids in Hollywood (1947)
1;General's Son (1990)
2;General's Son II (1991)
3;General's Son III (1992)
1;Mission à Tanger (1949)
2;Méfiez-vous des blondes (1950)
3;Massacre en dentelles (1952)
1;The Damned (1969)
2;Death in Venice (1971)
3;Ludwig (1972)
1;Get Married (2007)
2;Get Married 2 (2009)
3;Get Married 3 (2011)
1;G.I. Joe: The Movie (1987)  
2;G.I. Joe: Spy Troops (2003)  
3;G.I. Joe: Valor vs. Venom (2004)  
1;Rescue from Gilligan's Island (1978)
2;The Castaways on Gilligan's Island (1979)
3;The Harlem Globetrotters on Gilligan's Island (1981)
1;Ginger (1971)
2;The Abductors (1972)
3;Girls Are for Loving (1973)
1;The Gingerdead Man (2006)
2;Gingerdead Man 2: Passion of the Crust (2008)  
3;Gingerdead Man 3: Saturday Night Cleaver (2009)  
1;Ginger Snaps (2000)
2;Ginger Snaps 2: Unleashed (2004)
3;Ginger Snaps Back: The Beginning (2004)  
1;Goal (2005)
2;Goal II: Living the Dream (2007)
3;Goal III: Taking on the World (2009)  
1;The Godfather (1972)
2;The Godfather Part II (1974)
3;The Godfather Part III (1990)
1;God's Not Dead (2014)
2;God's Not Dead 2 (2016)
3;God's Not Dead: A Light in Darkness (2018)
1;Breaking the Waves (1996)
2;The Idiots (1998)
3;Dancer in the Dark (2000)
1;Goldy: The Last of the Golden Bears (1984)
2;Goldy 2: The Saga of the Golden Bear (1986)
3;The Magic of the Golden Bear: Goldy III (1994)
1;Gone in 60 Seconds (1974)
2;The Junkman (1982)
3;Deadline Auto Theft (1983)
1;Goodnight for Justice (2011)  
2;The Measure of a Man (2012)  
3;Queen of Hearts (2013)  
1;Goopy Gyne Bagha Byne (1968)
2;Heerak Rajar Deshe (1980)
3;Goopy Bagha Phire Elo (1991)
1;G.O.R.A. (2004)
2;A.R.O.G. (2008)
3;Arif V 216 (tr) (2018)
1;Le Gorille vous salue bien (1958)
2;La Valse du Gorille (fr) (1959)
3;Le Gorille a mordu l'archevêque (fr) (1963)
1;Göta kanal eller Vem drog ur proppen? (1981)
2;Göta kanal 2 - Kanalkampen (2006)
3;Göta kanal 3 - Kanalkungens hemlighet (2009)
1;The Great Ziegfeld (1936)
2;Ziegfeld Girl (1941)
3;Ziegfeld Follies (1946)
1;Green Street (2005)
2;Green Street 2: Stand Your Ground (2009)
3;Green Street 3: Never Back Down (2013)
1;Death Proof (2007)
2;Planet Terror (2007)*
3;Machete (2010) (spin-off)
1;The Grudge (2004)
2;The Grudge 2 (2006)
3;The Grudge 3 (2009)  
1;Guns of El Chupacabra (1997)  
2;Guns of El Chupacabra II: The Unseen (1998)  
3;El Chupacabra (2003)  
1;Ha-Chayim Al-Pi Agfa (1992)
2;Smicha Hashmalit Ushma Moshe (1995)
3;Mar Baum (1997)
1;Hanni & Nanni (2010)
2;Hanni & Nanni 2 (de) (2012)
3;Hanni & Nanni 3 (de) (2013)
1;Dudes Are Pretty People (1942)
2;Calaboose (1943)
3;Prairie Chickens (1943)
1;Goyôkiba (1972)
2;Goyôkiba: Kamisori Hanzô jigoku zeme (1973)
3;Goyôkiba: Oni no Hanzô yawahada koban (1974)
1;The Hangover (2009)
2;The Hangover Part II (2011)
3;The Hangover Part III (2013)
1;The Happy Hooker (1975)
2;The Happy Hooker Goes to Washington (1977)
3;The Happy Hooker Goes Hollywood (1980)
1;Hard Time (1998)  
2;The Premonition (1999)  
3;Hostage Hotel (1999)  
1;In Harihar Nagar (1990)
2;2 Harihar Nagar (2009)
3;In Ghost House Inn (2010)
1;Harold & Kumar Go to White Castle (2004)
2;Harold & Kumar Escape from Guantanamo Bay (2008)
3;A Very Harold & Kumar 3D Christmas (2011)
1;Olympus Has Fallen (2013)
2;London Has Fallen (2016)
3;Angel Has Fallen (2018)
1;Hate Story (2012)
2;Hate Story 2 (2014)
3;Hate Story 3 (2015)
1;Heintje - Ein Herz geht auf Reisen (1969)
2;Heintje - Einmal wird die Sonne wieder scheinen (1970)
3;Heintje - Mein bester Freund (1970)
1;Hej Stine! (1970)
2;I din fars lomme (1973)
3;Sådan er jeg osse (1980)
1;Hellboy Animated: Sword of Storms (2006)  
2;Hellboy Animated: Blood and Iron (2007)  
3;Hellboy Animated: Iron Shoes (2007)  
1;Helga – Vom Werden des menschlichen Lebens (1967)
2;Helga und Michael (1968)
3;Helga und die Männer - Die sexuelle Revolution (1969)
1;He-Man and She-Ra: The Secret of the Sword (1985)  
2;He-Man and She-Ra: A Christmas Special (1985)  
3;Skeletor's Revenge (1986)  
1;The Lamb (1915)
2;The Mollycoddle (1920)
3;The Saphead (1920)
1;Her Fatal Ways (1990)
2;Her Fatal Ways II (1991)
3;Her Fatal Ways III (1993)
1;Hexen bis aufs Blut gequält (1970)
2;Hexen geschändet und zu Tode gequält (1973)
3;Mark of the Devil 666: The Moralist (1995)
1;The Hills Have Eyes (1977)
